Country,Pct_Renewable,Renewable GWh,Hydro,Wind,Solar,Biofuel,Geoth
Angola,14.0,13.0,0.0,0.4,0.05,0.0,2023
Kyrgyzstan,12.0,12.0,0.0,0.0,0.0,0.0,2023
Serbia,13.0,12.0,0.9,0.02,0.2,0.0,2023
Portugal,34.0,12.0,13.0,5.0,4.0,0.2,2023
Sudan,12.0,12.0,0.0,0.1,0.1,0.0,2023
Bhutan,11.0,11.0,0.0,0.0,0.0,0.0,2023
Georgia,11.0,11.0,0.09,0.0,0.0,0.0,2023
Nepal,11.0,11.0,0.01,0.1,0.0,0.0,2023
Ukraine,19.0,11.0,2.0,5.0,0.8,0.0,2022
Nigeria,10.0,10.0,0.0,0.1,0.06,0.0,2023
Philippines,25.0,10.0,1.0,2.0,1.0,10.0,2023
Myanmar,10.0,9.0,0.0,0.1,0.3,0.0,2023
Ghana,9.0,9.0,0.0,0.1,0.02,0.0,2023
Kazakhstan,14.0,9.0,4.0,2.0,0.0,0.0,2023
Albania,9.0,9.0,0.0,0.3,0.0,0.0,2023
Costa Rica,12.0,9.0,1.0,0.08,0.06,2.0,2023
Croatia,12.0,8.0,3.0,0.4,1.0,0.02,2023
Uzbekistan,7.0,7.0,0.0,0.4,0.0,0.0,2023
Thailand,30.0,7.0,4.0,5.0,14.0,0.0,2023
Panama,8.0,6.0,0.9,0.9,0.04,0.0,2023
Bosnia and Herzegovina,7.0,6.0,0.3,0.2,0.03,0.0,2023
Guatemala,10.0,6.0,0.3,0.2,3.0,0.3,2023
Slovenia,6.0,5.0,0.01,1.0,0.3,0.0,2023
Cameroon,5.0,5.0,0.0,0.02,0.04,0.0,2023
Uganda,6.0,5.0,0.0,0.1,0.5,0.0,2023
United Kingdom,135.0,5.0,82.0,14.0,34.0,0.0,2023
Zimbabwe,6.0,5.0,0.0,0.03,0.1,0.0,2023
Cambodia,6.0,5.0,0.0,0.8,0.01,0.0,2023
Slovakia,7.0,5.0,0.0,0.6,1.0,0.0,2023
Taiwan,25.0,4.0,6.0,13.0,2.0,0.0,2023
Latvia,5.0,4.0,0.3,0.2,0.7,0.0,2023
